"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1450-1019-ND","AS6C1008-55STIN","IC SRAM 1MBIT PARALLEL 32STSOP","","1","0","3.33000","3.33"
"2","2","732-8045-1-ND","885012207045","CAP CER 0.1UF 16V X7R 0805","","2","0","0.10000","0.20"
"3","1","H124256-ND","PCN10EA-44P-2.54DS(72)","CONN DIN HDR 44POS PCB RA GOLD","","1","0","6.17000","6.17"
"4","1","MC74HC08ADTR2GOSCT-ND","MC74HC08ADTR2G","IC GATE AND 4CH 2-INP 14TSSOP","","1","0","0.64000","0.64"
