"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","296-26468-1-ND","SN74HC148DR","IC PRIORITY ENCOD 1 X 8:3 16SOIC","","1","0","0.44000","0.44"
"2","1","1450-1029-ND","AS6C4008-55STIN","IC SRAM 4MBIT PARALLEL 32STSOP","","1","0","5.16000","5.16"
"3","1","1727-6062-1-ND","74LVC1G02GW,125","IC GATE NOR 1CH 2-INP 5TSSOP","","1","0","0.38000","0.38"
"4","2","478-12795-1-ND","KGM21NR71C104MT","CAP CER 0.1UF 16V X7R 0805","","2","0","0.23000","0.46"
"5","2","S2011EC-22-ND","PRPC022DAAN-RC","CONN HEADER VERT 44POS 2.54MM","","2","0","0.82000","1.64"
"6","1","RMCF0805JT200KCT-ND","RMCF0805JT200K","RES 200K OHM 5% 1/8W 0805","","1","0","0.10000","0.10"
