"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","296-26468-1-ND","SN74HC148DR","IC PRIORITY ENCOD 1 X 8:3 16SOIC","","1","0","0.46000","0.46"
"2","1","1450-1029-ND","AS6C4008-55STIN","IC SRAM 4MBIT PARALLEL 32STSOP","","1","0","5.62000","5.62"
"3","1","1727-6062-1-ND","74LVC1G02GW,125","IC GATE NOR 1CH 2-INP 5TSSOP","","0","1","0.41000","0.41"
"4","2","478-12795-1-ND","0805YC104MAT2A","CAP CER 0.1UF 16V X7R 0805","","2","0","0.23000","0.46"
"5","2","H11165-ND","PCN10-44P-2.54DSA(72)","CONN DIN HDR 44POS PCB GOLD","","2","0","5.88000","11.76"
"6","1","NL17SZ02DFT2GOSCT-ND","NL17SZ02DFT2G","IC GATE NOR 1CH 2-INP SC88A","","1","0","0.36000","0.36"
