"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","399-4264-ND","C320C104K5R5TA","CAP CER 0.1UF 50V X7R RADIAL","","1","0","0.22000","0.22"
"2","2","1450-1017-ND","AS6C1008-55PCN","IC SRAM 1MBIT PARALLEL 32DIP","","2","0","4.01000","8.02"
"3","3","TC74HC08APF-ND","TC74HC08APF","IC GATE AND 4CH 2-INP 14DIP","","3","0","0.47000","1.41"
"4","4","2057-ICM-632-1-GT-HT-ND","ICM-632-1-GT-HT","MACHINE PIN SOCKET, IC, DIP, 32P","","4","0","1.46000","5.84"
"5","5","ED3014-ND","SA143000","CONN IC DIP SOCKET 14POS GOLD","","5","0","0.73000","3.65"
